date,Source,UNITONBT,SO2TONS,HEATINBA,NH3TONS,UNITONBA,HEAT_QA,HEATINBT,GFLOW_BA,NOXTONS,LOADMWBA,COTONS,LOADMWBT,Emissions_Load_SO2TONS,Emissions_Load_NOXTONS,Emissions_Load_COTONS,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
1/18/2022,LAKE-3,853.0,0.002328225,496.8875,0.021538269,53.3125,7950.2,7950.2,4783.217409,0.044941729,51.58839338,0.008240164,825.4142941,4.513079100661848e-05,0.0008711596941769308,0.00015972902934392565,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4
1/18/2022,LAKE-4,1440.0,0.00461637,641.1625,0.011270639,60.0,15387.9,15387.9,6172.170944,0.088154067,71.04983179,0.04055215,1705.195963,6.497369358515127e-05,0.0012407357593829992,0.0005707564532996905,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4
1/18/2023,LAKE-1,1440.0,0.00484221,672.5291667,0.024114711,60.0,16140.7,16140.7,6544.710986,0.088678221,73.81751833,0.0436553,1771.62044,6.559703048201892e-05,0.0012013167471109701,0.0005913948475596227,6.7,0.6,10.6,0.0,0.0,257,23.0,1013.2
1/18/2023,LAKE-2,1276.0,0.004045546,622.4545455,0.03913577,58.0,13694.0,13694.0,6057.334414,0.076560485,66.76447913,0.043936911,1468.818541,6.0594286853084596e-05,0.0011467248153157277,0.0006580881266885726,6.7,0.6,10.6,0.0,0.0,257,23.0,1013.2
1/18/2023,LAKE-3,981.0,0.003199719,639.7117647,0.023586422,57.70588235,10875.1,10875.1,6225.289875,0.061927747,67.72645062,0.016504591,1151.349661,4.724474663456091e-05,0.0009143805179967956,0.0002436949057408023,6.7,0.6,10.6,0.0,0.0,257,23.0,1013.2
1/19/2022,LAKE-1,1010.0,0.003293445,617.2777778,0.0081969,56.11111111,11111.0,11111.0,5942.120127,0.06067023,66.82988372,0.007867777,1202.937907,4.928102245095452e-05,0.0009078308478613047,0.00011772842569895765,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5
1/19/2022,LAKE-3,648.0,0.001624935,431.8692308,0.015842147,49.84615385,5614.3,5614.3,4157.419248,0.033044111,43.51149294,0.007009425,565.6494082,3.734496084151141e-05,0.0007594340889559006,0.00016109364506673257,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5
1/19/2022,LAKE-4,884.0,0.002756582,583.6,0.011551846,55.25,9337.6,9337.6,5618.044537,0.053383293,64.22563892,0.024867516,1027.610223,4.292027368437116e-05,0.0008311835257333085,0.00038718985779145285,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5
1/19/2023,LAKE-1,1440.0,0.00455214,632.2416667,0.022059048,60.0,15173.8,15173.8,6152.564148,0.083461187,67.59183109,0.03935995,1622.203946,6.734748750834588e-05,0.0012347821571643712,0.0005823181494756573,4.9,-2.1,10.6,0.0,0.0,81,5.4,1017.5
1/19/2023,LAKE-2,1083.0,0.003281918,577.7315789,0.028942303,57.0,10976.9,10976.9,5622.121657,0.062929721,60.46882291,0.036157318,1148.907635,5.4274547478536324e-05,0.001040696973606758,0.0005979497575769828,4.9,-2.1,10.6,0.0,0.0,81,5.4,1017.5
